mt20id,prfnm,prfpdfrom,prfpdto,fcltynm,poster,genrenm,prfstate,openrun,SGG
PF198660,프린세스공주 [대구],2022.11.05,2022.11.06,신세계 문화홀 8층 [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF198660_220923_112745.gif,뮤지컬,공연예정,N,동구
PF198518,피터팬 [대구],2022.10.29,2022.10.30,신세계 문화홀 8층 [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF198518_220921_110638.gif,뮤지컬,공연예정,N,동구
PF198283,신숭겸 [대구],2022.10.01,2022.10.01,아양아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198283_220916_131754.PNG,뮤지컬,공연예정,N,동구
PF198166,겨울왕국: 겨울이야기 [대구 동구],2022.12.17,2022.12.17,아양아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198166_220915_120612.gif,뮤지컬,공연예정,N,동구
PF197657,손민수 피아노 리사이틀 [대구],2022.11.06,2022.11.06,아양아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197657_220905_161416.gif,클래식,공연예정,N,동구
PF197255,제8회 세계안무축제,2022.09.27,2022.09.29,아양아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197255_220830_110429.jpg,무용,공연예정,N,동구
PF196486,리틀고양이 [대구],2022.10.15,2022.10.16,신세계 문화홀 8층 [대구],http://www.kopis.or.kr/upload/pfmPoster/PF_PF196486_220817_153237.gif,뮤지컬,공연예정,N,동구
PF195864,번개맨: 우주최강 번개삼총사 [대구],2022.10.15,2022.10.16,아양아트센터,http://www.kopis.or.kr/upload/pfmPoster/PF_PF195864_220808_110733.jpg,뮤지컬,공연예정,N,동구
PF197444,석양은 훨훨 재를 넘고,2022.10.05,2022.10.05,대구서구문화회관,http://www.kopis.or.kr/upload/pfmPoster/PF_PF197444_220901_141015.jpg,국악,공연예정,N,서구
PF198619,신주단지 [대구],2022.10.12,2022.10.19,빈티지소극장,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198619_220922_144138.jpg,연극,공연예정,N,남구
PF198561,페르레이: 당신에게 [대구],2022.10.08,2022.10.08,오푸스라움,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198561_220921_131045.jpg,클래식,공연예정,N,남구
PF198513,마냥 씩씩한 로맨스 [대구],2022.10.01,2022.10.08,작은무대 극단가인,http://www.kopis.or.kr/upload/pfmPoster/PF_PF198513_220921_105733.gif,연극,공연예정,N,남구
